W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf,040122
 ,Á,Morata          ,CHE ,F,0.23 ,0.27 ,4.4,4.8 ,2.3 ,1739,10.4 ,7.6 ,1866  ,0 ,      
 ,A,Pérez           ,NEW ,F,0.12 ,0.25 ,2.6,3.3 ,3.3 ,1881,5.2  ,1.2 ,1778  ,3 ,      
 ,L,Sané            ,MCI ,M,0.42 ,0.48 ,5.6,6.1 ,4.7 ,1902,8.6  ,12.6,1759  ,0 ,      
 ,V,Iborra          ,LEI ,M,0.25 ,0.3  ,3.4,3.7 ,6.3 ,1235,5.7  ,0.1 ,1755  ,30,      
 ,A,Masuaku         ,WHU ,D,0.12 ,0.17 ,2.5,2.7 ,3.3 ,1413,4.2  ,0.5 ,1669  ,6 ,      
 ,C,Eriksen         ,TOT ,M,0.36 ,0.35 ,5.4,5.3 ,5.7 ,2588,9.4  ,14.2,1635  ,0 ,      
o,H,Maguire         ,LEI ,D,0.27 ,0.27 ,3.5,3.5 ,3.0 ,2790,5.6  ,12.4,1593  ,0 ,      
o,J,Lascelles       ,NEW ,D,0.38 ,0.38 ,3.8,3.8 ,4.3 ,2297,4.8  ,8.8 ,1504  ,0 ,      
 ,A,Sánchez         ,MUN ,M,0.26 ,0.29 ,5.0,5.3 ,7.0 ,2105,11.5 ,2.8 ,1292  ,1 ,      
 ,S,Ward            ,BUR ,D,0.47 ,0.51 ,4.2,4.4 ,3.3 ,1830,4.7  ,7.3 ,1184  ,0 ,      
 ,J,Hart            ,WHU ,G,0.31 ,0.29 ,3.3,3.2 ,2.3 ,1440,4.2  ,5.4 ,1173  ,0 ,      
 ,N,Matic           ,MUN ,M,0.13 ,0.13 ,2.6,2.6 ,4.7 ,2739,4.7  ,9.2 ,1116  ,0 ,      
 ,H,Bellerín        ,ARS ,D,0.27 ,0.27 ,3.6,3.6 ,2.3 ,2617,5.9  ,9.9 ,1082  ,0 ,      
 ,W,Zaha            ,CRY ,M,0.25 ,0.24 ,3.7,3.6 ,3.0 ,2009,6.8  ,4.2 ,1073  ,0 ,      
m,A,Christensen     ,CHE ,D,0.21 ,0.3  ,3.1,3.6 ,1.7 ,1797,5.3  ,2.1 ,1059  ,1 ,      
 ,M,Alonso          ,CHE ,D,0.42 ,0.43 ,5.0,5.1 ,1.7 ,2495,7.2  ,19.6,1055  ,0 ,      
 ,G,Murray          ,BHA ,F,0.23 ,0.4  ,3.4,4.4 ,3.0 ,1809,6.0  ,7.0 ,982   ,0 ,      
 ,S,Rondón          ,WBA ,F,0.12 ,0.17 ,2.7,3.0 ,5.3 ,2267,6.0  ,0.9 ,930   ,2 ,      
 ,P,Dummett         ,NEW ,D,0.19 ,0.26 ,2.8,3.1 ,4.3 ,1005,4.2  ,0.7 ,838   ,2 ,      
 ,D,Yedlin          ,NEW ,D,0.14 ,0.16 ,2.6,2.7 ,5.3 ,2279,4.4  ,0.8 ,828   ,2 ,      
 ,A,Lennon          ,BUR ,M,0.06 ,0.19 ,2.3,3.0 ,4.0 ,1341,5.4  ,0.2 ,750   ,6 ,      
 ,M,Dubravka        ,NEW ,G,0.62 ,0.62 ,4.8,4.8 ,4.3 ,450 ,4.5  ,0.5 ,699   ,2 ,      
 ,K,Trippier        ,TOT ,D,0.5  ,0.63 ,4.6,5.3 ,2.0 ,1560,5.2  ,4.5 ,695   ,0 ,      
 ,M,van der Hoorn   ,SWA ,D,0.39 ,0.45 ,3.7,4.0 ,5.7 ,1558,4.4  ,1.3 ,653   ,1 ,      
 ,A,King            ,SWA ,M,0.1  ,0.48 ,2.4,4.0 ,4.0 ,794 ,4.2  ,3.4 ,651   ,0 ,      
 ,D,Simpson         ,LEI ,D,0.05 ,0.07 ,2.2,2.3 ,2.0 ,2024,4.3  ,2.3 ,555   ,0 ,      
 ,R,Lukaku          ,MUN ,F,0.27 ,0.28 ,5.1,5.2 ,7.0 ,2609,11.6 ,30.6,502   ,0 ,      
 ,L,Dunk            ,BHA ,D,0.09 ,0.09 ,2.4,2.4 ,3.3 ,2790,4.5  ,3.1 ,495   ,0 ,      
 ,N,Kanté           ,CHE ,M,0.22 ,0.24 ,3.1,3.2 ,3.0 ,2364,4.9  ,11.4,495   ,0 ,      
 ,E,Dier            ,TOT ,M,0.13 ,0.11 ,2.6,2.5 ,3.3 ,2544,4.7  ,2.5 ,472   ,0 ,      
 ,V,Moses           ,CHE ,D,0.38 ,0.48 ,4.5,5.1 ,2.0 ,1670,6.5  ,1.9 ,461   ,0 ,      
 ,J,João Mário      ,WHU ,M,0.33 ,0.33 ,4.0,4.0 ,4.0 ,498 ,6.0  ,0.1 ,457   ,8 ,      
 ,W,Hughes          ,WAT ,M,0.5  ,0.96 ,4.3,6.4 ,3.3 ,474 ,4.6  ,0.2 ,415   ,4 ,      
 ,J,Cork            ,BUR ,M,0.11 ,0.11 ,2.5,2.5 ,2.0 ,2790,4.5  ,2.8 ,410   ,0 ,      
 ,R,Pereyra         ,WAT ,M,0.02 ,0.14 ,2.1,2.8 ,3.8 ,1231,5.8  ,0.1 ,400   ,7 ,      
 ,F,Lejeune         ,NEW ,D,0.09 ,0.12 ,2.4,2.5 ,5.3 ,1473,4.3  ,0.2 ,375   ,3 ,      
 ,M,Özil            ,ARS ,M,0.25 ,0.27 ,4.3,4.5 ,5.0 ,2161,9.3  ,2.4 ,353   ,0 ,      
 ,S,Aurier          ,TOT ,D,0.49 ,0.54 ,4.9,5.2 ,6.7 ,1247,5.9  ,1.0 ,346   ,1 ,      
 ,A,Young           ,MUN ,M,0.33 ,0.35 ,3.6,3.7 ,2.3 ,2040,4.8  ,1.7 ,326   ,0 ,      
m,P,van Aanholt     ,CRY ,D,0.04 ,0.12 ,2.2,2.6 ,5.3 ,1651,5.1  ,1.7 ,319   ,0 ,      
m,T,Abraham         ,SWA ,F,0.17 ,0.24 ,2.9,3.3 ,1.0 ,1493,5.4  ,3.5 ,319   ,0 ,      
 ,A,McCarthy        ,SOU ,G,0.09 ,0.09 ,2.4,2.4 ,3.0 ,990 ,4.4  ,0.3 ,281   ,2 ,      
m,L,Fabianski       ,SWA ,G,0.43 ,0.43 ,4.0,4.0 ,4.3 ,2790,4.7  ,8.9 ,256   ,0 ,      
 ,J,Milner          ,LIV ,D,0.07 ,0.3  ,2.4,3.8 ,3.5 ,1476,6.0  ,2.3 ,216   ,0 ,      
 ,S,Duffy           ,BHA ,D,0.17 ,0.17 ,2.8,2.8 ,2.7 ,2682,4.6  ,3.3 ,162   ,0 ,      
m,C,Chambers        ,ARS ,D,-0.02,-0.17,1.9,1.2 ,2.7 ,529 ,4.7  ,0.2 ,161   ,1 ,      
 ,L,Lewis Cook      ,BOU ,M,0.0  ,0.05 ,2.0,2.2 ,2.0 ,1813,4.3  ,1.3 ,154   ,0 ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,143.05,~~,~~~~~~
 ,J,Shelvey         ,NEW ,M,0.02 ,0.13 ,2.1,2.7 ,4.7 ,1642,5.2  ,0.4 ,130   ,1 ,      
 ,Y,Bolasie         ,EVE ,M,0.08 ,0.2  ,2.5,3.3 ,4.0 ,603 ,6.4  ,0.2 ,102   ,1 ,      
 ,A,Lacazette       ,ARS ,F,0.19 ,0.21 ,3.9,4.1 ,1.7 ,1837,10.2 ,5.9 ,89    ,0 ,      
 ,C,Kouyaté         ,WHU ,M,0.14 ,0.2  ,2.7,3.0 ,3.0 ,2168,5.0  ,0.2 ,86    ,1 ,      
 ,G,Bong            ,BHA ,D,0.09 ,0.09 ,2.4,2.4 ,0.3 ,1612,4.4  ,0.1 ,85    ,1 ,      
 ,M,Dembélé         ,TOT ,M,-0.02,0.04 ,1.9,2.2 ,2.3 ,1635,4.9  ,1.7 ,82    ,0 ,      
 ,M,Albrighton      ,LEI ,M,0.25 ,0.3  ,3.4,3.7 ,3.0 ,2298,5.6  ,3.1 ,81    ,0 ,      
 ,A,Rüdiger         ,CHE ,D,0.41 ,0.48 ,4.4,4.8 ,0.7 ,1886,5.8  ,3.2 ,71    ,0 ,      
 ,J,Henderson       ,LIV ,M,0.17 ,0.21 ,2.9,3.1 ,2.0 ,1688,5.3  ,1.1 ,52    ,0 ,      
 ,O,Oriol Romeu     ,SOU ,M,0.0  ,0.02 ,2.0,2.1 ,1.0 ,2267,4.2  ,2.1 ,47    ,0 ,      
 ,D,Pröpper         ,BHA ,M,0.09 ,0.09 ,2.5,2.5 ,2.0 ,2775,5.3  ,0.1 ,40    ,1 ,      
 ,F,Fernandinho     ,MCI ,M,0.26 ,0.28 ,3.3,3.4 ,1.7 ,2430,5.0  ,4.5 ,25    ,0 ,      
 ,J,Holebas         ,WAT ,D,0.15 ,0.17 ,2.7,2.8 ,2.8 ,1931,4.8  ,0.6 ,17    ,0 ,      
 ,O,Karnezis        ,WAT ,G,0.33 ,0.42 ,3.5,3.9 ,3.3 ,841 ,4.5  ,0.2 ,16    ,0 ,      
 ,Y,Cabaye          ,CRY ,M,0.06 ,0.09 ,2.3,2.5 ,1.0 ,1882,5.3  ,0.2 ,12    ,0 ,      
 ,K,Naughton        ,SWA ,D,0.28 ,0.28 ,3.3,3.3 ,3.3 ,2596,4.6  ,5.6 ,4     ,0 ,      
 ,M,Olsson          ,SWA ,D,0.12 ,0.12 ,2.6,2.6 ,2.7 ,2574,5.0  ,0.3 ,4     ,0 ,      
 ,J,Hendrick        ,BUR ,M,0.15 ,0.19 ,2.8,3.0 ,1.7 ,2102,5.4  ,0.2 ,0     ,0 ,      
 ,S,March           ,BHA ,M,0.0  ,0.19 ,2.0,2.9 ,0.7 ,1623,4.8  ,0.2 ,-9    ,0 ,      
 ,J,Livermore       ,WBA ,M,0.0  ,0.04 ,2.0,2.2 ,1.5 ,2131,4.8  ,0.1 ,-9    ,0 ,      
 ,A,André Ayew      ,SWA ,M,0.1  ,0.21 ,2.7,3.4 ,4.3 ,1210,6.8  ,1.0 ,-12   ,0 ,      
 ,M,Schneiderlin    ,EVE ,M,-0.09,-0.02,1.6,1.9 ,0.8 ,1623,4.7  ,0.5 ,-15   ,0 ,      
 ,A,Townsend        ,CRY ,M,0.23 ,0.25 ,3.3,3.4 ,4.0 ,2594,5.6  ,1.3 ,-17   ,0 ,      
